,cluster_profile,profile_lab,clade,Num_Sequence,Range_of_Host,Range_of_HostType,Host_Range_Per_Continent,Continent_of_Earliest_Date,Host_of_Earliest_Sample_Date,Range_of_Continent,Length_Between_First_Last_Sample,number_Conti,number_hostType,group,colour
168,3_2_3_1_1_2_1_9,NA,2.3.4.4b,1,domestic-Galliformes,domestic-ave,domestic-Galliformes - Asia,Asia,domestic-Galliformes,Asia,0,1,1,minor,#cc99b7
169,3_2_3_1_1_47_1_2,NA,2.3.4.4b,2,"wild-Gruiformes, domestic-Galliformes","wild-ave, domestic-ave","wild-Gruiformes - Asia, domestic-Galliformes - Asia",Asia,domestic-Galliformes,Asia,0.0140000000001237,1,2,minor,#cc667e
170,3_2_3_1_1_58_1_2,NA,2.3.4.4b,1,wild-Anseriformes,wild-ave,wild-Anseriformes - Europe,Europe,wild-Anseriformes,Europe,0,1,1,minor,#cc7e66
171,3_2_3_1_1_68_1_2,NA,2.3.4.4b,1,wild-Anseriformes,wild-ave,wild-Anseriformes - Asia,Asia,wild-Anseriformes,Asia,0,1,1,minor,#cc8d33
172,3_2_3_1_1_71_1_2,NA,2.3.4.4b,1,domestic-Anseriformes,domestic-ave,domestic-Anseriformes - Asia,Asia,domestic-Anseriformes,Asia,0,1,1,minor,#ccc899
173,3_2_3_1_1_7_1_2,NA,2.3.4.4b,2,"domestic-Galliformes, domestic-Anseriformes",domestic-ave,"domestic-Galliformes - Europe, domestic-Anseriformes - Europe",Europe,domestic-Galliformes,Europe,0,1,1,minor,#afcc66
174,3_2_3_1_1_82_1_9,NA,2.3.4.4b,1,domestic-Anseriformes,domestic-ave,domestic-Anseriformes - Asia,Asia,domestic-Anseriformes,Asia,0,1,1,minor,#6bcc33
175,3_2_3_1_1_88_1_9,NA,2.3.4.4b,1,domestic-Galliformes,domestic-ave,domestic-Galliformes - Asia,Asia,domestic-Galliformes,Asia,0,1,1,minor,#9acc99
176,3_2_3_1_32_2_1_2,NA,2.3.4.4b,1,domestic-Anseriformes,domestic-ave,domestic-Anseriformes - Asia,Asia,domestic-Anseriformes,Asia,0,1,1,minor,#66cc87
177,3_2_3_54_1_89_1_52,NA,2.3.4.4b,1,domestic-Galliformes,domestic-ave,domestic-Galliformes - Africa,Africa,domestic-Galliformes,Africa,0,1,1,minor,#33cc99
178,3_2_71_1_1_20_1_2,NA,2.3.4.4b,1,domestic-Anseriformes,domestic-ave,domestic-Anseriformes - Asia,Asia,domestic-Anseriformes,Asia,0,1,1,minor,#99cbcc
179,3_2_87_1_1_87_34_50,NA,2.3.4.4b,1,domestic-Galliformes,domestic-ave,domestic-Galliformes - Africa,Africa,domestic-Galliformes,Africa,0,1,1,minor,#66a6cc
180,3_31_3_1_1_2_1_2,NA,2.3.4.4b,1,domestic-Anseriformes,domestic-ave,domestic-Anseriformes - Asia,Asia,domestic-Anseriformes,Asia,0,1,1,minor,#335fcc
181,3_32_3_1_1_2_1_2,NA,2.3.4.4b,1,domestic-Galliformes,domestic-ave,domestic-Galliformes - Europe,Europe,domestic-Galliformes,Europe,0,1,1,minor,#9b99cc
182,3_36_3_1_16_20_1_11,NA,2.3.4.4b,1,wild-Mammal,mammal,wild-Mammal - Asia,Asia,wild-Mammal,Asia,0,1,1,minor,#8f66cc
183,3_43_3_1_1_2_1_2,NA,2.3.4.4b,1,domestic-Anseriformes,domestic-ave,domestic-Anseriformes - Asia,Asia,domestic-Anseriformes,Asia,0,1,1,minor,#a533cc
184,3_44_3_1_1_2_1_2,NA,2.3.4.4b,1,domestic-Anseriformes,domestic-ave,domestic-Anseriformes - Asia,Asia,domestic-Anseriformes,Asia,0,1,1,minor,#cc99c6
185,3_45_3_1_1_2_1_2,NA,2.3.4.4b,1,domestic-Anseriformes,domestic-ave,domestic-Anseriformes - Asia,Asia,domestic-Anseriformes,Asia,0,1,1,minor,#cc669e
186,3_50_3_1_1_10_1_9,NA,2.3.4.4b,1,domestic-Anseriformes,domestic-ave,domestic-Anseriformes - Asia,Asia,domestic-Anseriformes,Asia,0,1,1,minor,#cc3352
187,40_1_12_1_6_2_1_17,NA,2.3.4.4b,2,domestic-Anseriformes,domestic-ave,domestic-Anseriformes - Asia,Asia,domestic-Anseriformes,Asia,0,1,1,minor,#cc5d33
188,41_1_1_1_1_1_1_1,NA,2.3.4.4b,2,domestic-Galliformes,domestic-ave,domestic-Galliformes - North America,North America,domestic-Galliformes,North America,0,1,1,minor,#ccb899
189,42_24_1_1_2_1_1_4,NA,2.3.4.4b,2,"domestic-Galliformes, domestic-Anseriformes",domestic-ave,"domestic-Galliformes - North America, domestic-Anseriformes - North America",North America,domestic-Galliformes,North America,0,1,1,minor,#ccc966
190,43_1_5_2_1_3_1_2,NA,2.3.4.4b,2,NA-environment,other,NA-environment - Asia,Asia,NA-environment,Asia,0,1,1,minor,#9bcc33
191,44_1_1_1_18_1_1_1,NA,2.3.4.4b,2,"wild-Mammal, wild-Accipitriformes","mammal, wild-ave","wild-Mammal - North America, wild-Accipitriformes - North America",North America,wild-Mammal,North America,0.428000000000111,1,2,minor,#aacc99
192,45_1_1_1_18_1_1_1,NA,2.3.4.4b,2,"wild-Strigiformes, wild-Anseriformes",wild-ave,"wild-Strigiformes - North America, wild-Anseriformes - North America",North America,wild-Anseriformes,North America,0.322999999999865,1,1,minor,#66cc67
193,46_2_53_12_29_54_11_2,NA,2.3.4.4b,1,domestic-Galliformes,domestic-ave,domestic-Galliformes - Europe,Europe,domestic-Galliformes,Europe,0,1,1,minor,#33cc69
194,47_28_55_32_4_55_2_34,NA,2.3.4.4h,1,domestic-Galliformes,domestic-ave,domestic-Galliformes - Asia,Asia,domestic-Galliformes,Asia,0,1,1,minor,#f0ffff
195,48_30_31_34_20_57_5_37,NA,2.3.2.1c,1,wild-Mammal,mammal,wild-Mammal - Asia,Asia,wild-Mammal,Asia,0,1,1,minor,#f0fff0
196,49_1_1_1_1_1_1_1,NA,2.3.4.4b,1,wild-Anseriformes,wild-ave,wild-Anseriformes - Europe,Europe,wild-Anseriformes,Europe,0,1,1,minor,#99ccbc
197,4_1_1_1_2_1_1_1,H5N1/2022/R4_NAmerica,2.3.4.4b,288,"domestic-Galliformes, wild-Anseriformes, domestic-Anseriformes, wild-Accipitriformes, wild-Mammal, wild-Strigiformes","domestic-ave, wild-ave, mammal","domestic-Galliformes - North America, wild-Anseriformes - North America, domestic-Anseriformes - North America, wild-Accipitriformes - North America, wild-Mammal - North America, wild-Strigiformes - North America",North America,wild-Anseriformes,North America,0.676999999999907,1,3,major,#66c6cc
198,4_1_1_1_2_1_1_8,H5N1/2022/R10_NAmerica,2.3.4.4b,40,"domestic-Galliformes, wild-Pelecaniformes, domestic-Anseriformes, wild-Rheiformes, wild-Anseriformes, wild-Accipitriformes, wild-Strigiformes","domestic-ave, wild-ave","domestic-Galliformes - North America, wild-Pelecaniformes - South America, domestic-Anseriformes - North America, wild-Rheiformes - North America, wild-Anseriformes - North America, wild-Accipitriformes - North America, wild-Strigiformes - North America",North America,domestic-Galliformes,"North America, South America",1.03600000000006,2,2,dominant,#338ecc
199,4_3_1_1_2_1_1_1,NA,2.3.4.4b,3,"domestic-Galliformes, wild-Accipitriformes, wild-Passeriformes","domestic-ave, wild-ave","domestic-Galliformes - North America, wild-Accipitriformes - North America, wild-Passeriformes - North America",North America,domestic-Galliformes,North America,0.0660000000000309,1,2,major,#99a5cc
200,4_3_1_1_2_1_1_4,NA,2.3.4.4b,1,wild-Anseriformes,wild-ave,wild-Anseriformes - North America,North America,wild-Anseriformes,North America,0,1,1,minor,#6f66cc
201,4_4_8_1_2_1_1_1,H5N1/2022/R13_NAmerica,2.3.4.4b,65,"domestic-Anseriformes, domestic-Galliformes, wild-Mammal, wild-Galliformes, wild-Anseriformes, wild-Accipitriformes, wild-Pelecaniformes, wild-Falconiformes","domestic-ave, mammal, wild-ave","domestic-Anseriformes - North America, domestic-Galliformes - North America, wild-Mammal - North America, wild-Galliformes - North America, wild-Anseriformes - North America, wild-Accipitriformes - North America, domestic-Galliformes - South America, domestic-Anseriformes - South America, wild-Pelecaniformes - North America, wild-Falconiformes - North America",North America,domestic-Anseriformes,"North America, South America",0.619999999999891,2,3,major,#7633cc
202,4_4_8_1_2_97_1_1,NA,2.3.4.4b,1,wild-Accipitriformes,wild-ave,wild-Accipitriformes - North America,North America,wild-Accipitriformes,North America,0,1,1,minor,#c199cc
203,50_1_1_1_1_1_1_1,NA,2.3.4.4b,1,wild-Passeriformes,wild-ave,wild-Passeriformes - Europe,Europe,wild-Passeriformes,Europe,0,1,1,minor,#cc66be
204,51_1_62_37_1_61_23_1,NA,EA_nonGsGD,1,wild-Anseriformes,wild-ave,wild-Anseriformes - Europe,Europe,wild-Anseriformes,Europe,0,1,1,minor,#dcdcdc
205,52_33_2_24_33_62_1_7,NA,EA_nonGsGD,1,wild-Anseriformes,wild-ave,wild-Anseriformes - Europe,Europe,wild-Anseriformes,Europe,0,1,1,minor,#dcdcdc
206,53_39_67_39_9_10_26_9,NA,2.3.4.4h,1,wild-Mammal,mammal,wild-Mammal - Asia,Asia,wild-Mammal,Asia,0,1,1,minor,#f0ffff
207,54_3_45_40_37_67_13_8,NA,Am_nonGsGD,1,wild-Charadriiformes,wild-ave,wild-Charadriiformes - North America,North America,wild-Charadriiformes,North America,0,1,1,minor,#d3d3d3
208,55_42_70_1_39_25_1_39,NA,2.3.4.4b,1,domestic-Galliformes,domestic-ave,domestic-Galliformes - Asia,Asia,domestic-Galliformes,Asia,0,1,1,minor,#cc3382
209,56_1_30_1_13_25_1_40,NA,2.3.4.4b,1,domestic-Galliformes,domestic-ave,domestic-Galliformes - Asia,Asia,domestic-Galliformes,Asia,0,1,1,minor,#cc99a1
210,57_46_72_42_1_69_27_41,NA,2.3.2.1a,1,wild-Mammal,mammal,wild-Mammal - Asia,Asia,wild-Mammal,Asia,0,1,1,minor,#fffff0
211,58_47_73_43_40_70_28_42,NA,Am_nonGsGD,1,domestic-Galliformes,domestic-ave,domestic-Galliformes - North America,North America,domestic-Galliformes,North America,0,1,1,minor,#d3d3d3
212,59_1_1_1_1_1_1_1,NA,2.3.4.4b,1,domestic-Anseriformes,domestic-ave,domestic-Anseriformes - Asia,Asia,domestic-Anseriformes,Asia,0,1,1,minor,#cca899
213,5_15_12_13_17_23_30_20,NA,Am_nonGsGD,1,wild-Anseriformes,wild-ave,wild-Anseriformes - Asia,Asia,wild-Anseriformes,Asia,0,1,1,minor,#d3d3d3
214,5_15_12_13_17_23_9_20,NA,Am_nonGsGD,1,wild-Anseriformes,wild-ave,wild-Anseriformes - Asia,Asia,wild-Anseriformes,Asia,0,1,1,minor,#d3d3d3
215,5_15_26_13_17_23_9_20,NA,Am_nonGsGD,3,domestic-Anseriformes,domestic-ave,domestic-Anseriformes - Asia,Asia,domestic-Anseriformes,Asia,0,1,1,major,#d3d3d3
216,5_15_26_13_17_23_9_21,NA,Am_nonGsGD,1,wild-Anseriformes,wild-ave,wild-Anseriformes - Asia,Asia,wild-Anseriformes,Asia,0,1,1,minor,#d3d3d3
217,5_1_1_1_2_1_1_1,H5N1/2022/R5_NAmerica,2.3.4.4b,52,"domestic-Galliformes, wild-Mammal, domestic-Anseriformes, wild-Anseriformes, wild-Podicipediformes, wild-Accipitriformes, wild-Pelecaniformes, wild-Falconiformes, wild-Strigiformes","domestic-ave, mammal, wild-ave","domestic-Galliformes - North America, wild-Mammal - North America, domestic-Anseriformes - North America, wild-Anseriformes - North America, wild-Podicipediformes - North America, wild-Accipitriformes - North America, wild-Pelecaniformes - North America, wild-Falconiformes - North America, wild-Strigiformes - North America",North America,wild-Anseriformes,North America,0.605000000000018,1,3,major,#cca966
218,5_3_1_1_2_1_1_1,H5N1/2022/R11_NAmerica,2.3.4.4b,6,"wild-Mammal, domestic-Galliformes, wild-Accipitriformes","mammal, domestic-ave, wild-ave","wild-Mammal - North America, domestic-Galliformes - North America, wild-Accipitriformes - North America",North America,domestic-Galliformes,North America,0.591999999999871,1,3,major,#cbcc33
219,5_3_1_1_2_1_1_4,H5N1/2022/R8_NAmerica,2.3.4.4b,307,"domestic-Galliformes, domestic-Anseriformes, wild-Mammal, wild-Anseriformes, wild-Strigiformes, wild-Charadriiformes, wild-Falconiformes, wild-Pelecaniformes, wild-Accipitriformes, wild-Suliformes, wild-unknown avian, domestic-Mammal, wild-Passeriformes","domestic-ave, mammal, wild-ave","domestic-Galliformes - North America, domestic-Anseriformes - North America, wild-Mammal - North America, wild-Anseriformes - North America, wild-Anseriformes - Asia, wild-Strigiformes - North America, wild-Charadriiformes - North America, wild-Falconiformes - North America, wild-Pelecaniformes - South America, wild-Charadriiformes - South America, wild-Accipitriformes - North America, wild-Suliformes - South America, wild-Mammal - South America, domestic-Galliformes - South America, wild-unknown avian - South America, domestic-Mammal - North America, wild-Pelecaniformes - North America, wild-Passeriformes - North America, wild-Strigiformes - South America",North America,domestic-Galliformes,"North America, Asia, South America",1.173,3,3,dominant,#bacc99
220,60_1_78_1_1_78_1_1,NA,2.3.4.4b,1,wild-Passeriformes,wild-ave,wild-Passeriformes - Asia,Asia,wild-Passeriformes,Asia,0,1,1,minor,#84cc66
221,61_1_44_50_1_81_32_1,NA,EA_nonGsGD,1,wild-Anseriformes,wild-ave,wild-Anseriformes - Europe,Europe,wild-Anseriformes,Europe,0,1,1,minor,#dcdcdc
222,62_13_80_1_11_10_1_9,NA,2.3.4.4b,1,domestic-Anseriformes,domestic-ave,domestic-Anseriformes - Asia,Asia,domestic-Anseriformes,Asia,0,1,1,minor,#33cc3a
223,63_51_84_51_44_84_33_49,NA,2.3.2.1c,1,domestic-Galliformes,domestic-ave,domestic-Galliformes - Asia,Asia,domestic-Galliformes,Asia,0,1,1,minor,#f0fff0
224,64_1_2_52_22_36_1_1,NA,EA_nonGsGD,1,wild-Anseriformes,wild-ave,wild-Anseriformes - Europe,Europe,wild-Anseriformes,Europe,0,1,1,minor,#dcdcdc
225,65_1_86_27_28_86_1_1,NA,EA_nonGsGD,1,wild-Anseriformes,wild-ave,wild-Anseriformes - Europe,Europe,wild-Anseriformes,Europe,0,1,1,minor,#dcdcdc
226,66_21_1_1_1_1_1_1,NA,2.3.4.4b,1,wild-Pelecaniformes,wild-ave,wild-Pelecaniformes - North America,North America,wild-Pelecaniformes,North America,0,1,1,minor,#99ccad
227,67_1_1_1_1_1_1_1,NA,2.3.4.4b,1,wild-Anseriformes,wild-ave,wild-Anseriformes - North America,North America,wild-Anseriformes,North America,0,1,1,minor,#66ccb1
228,68_21_91_1_2_1_1_1,NA,2.3.4.4b,1,wild-Accipitriformes,wild-ave,wild-Accipitriformes - North America,North America,wild-Accipitriformes,North America,0,1,1,minor,#33becc
229,69_1_1_1_2_1_1_1,NA,2.3.4.4b,1,wild-Anseriformes,wild-ave,wild-Anseriformes - North America,North America,wild-Anseriformes,North America,0,1,1,minor,#99b5cc
230,6_16_5_2_1_3_1_2,NA,2.3.4.4b,4,NA-environment,other,NA-environment - Asia,Asia,NA-environment,Asia,0.0190000000000055,1,1,major,#667ccc
231,6_1_37_2_1_3_1_2,NA,2.3.4.4b,2,NA-environment,other,NA-environment - Asia,Asia,NA-environment,Asia,0,1,1,minor,#4633cc
232,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,2.3.4.4b,245,"wild-Accipitriformes, domestic-Galliformes, domestic-Anseriformes, wild-Anseriformes, NA-environment, wild-Strigiformes, wild-Falconiformes, wild-unknown avian, wild-Gruiformes","wild-ave, domestic-ave, other","wild-Accipitriformes - Europe, domestic-Galliformes - Europe, domestic-Anseriformes - Europe, wild-Anseriformes - Asia, NA-environment - Asia, domestic-Galliformes - Asia, wild-Anseriformes - Europe, wild-Strigiformes - Asia, wild-Falconiformes - Asia, domestic-Anseriformes - Asia, wild-Accipitriformes - Asia, wild-unknown avian - Asia, wild-Gruiformes - Asia",Europe,domestic-Galliformes,"Europe, Asia",1.16699999999992,2,3,dominant,#b199cc
233,6_1_5_2_38_3_1_2,NA,2.3.4.4b,1,wild-Anseriformes,wild-ave,wild-Anseriformes - Asia,Asia,wild-Anseriformes,Asia,0,1,1,minor,#b966cc
234,6_1_5_41_1_3_1_2,NA,2.3.4.4b,1,wild-Falconiformes,wild-ave,wild-Falconiformes - Asia,Asia,wild-Falconiformes,Asia,0,1,1,minor,#cc33b2
235,6_25_52_2_1_3_1_2,NA,2.3.4.4b,2,NA-environment,other,NA-environment - Asia,Asia,NA-environment,Asia,0,1,1,minor,#cc99b1
236,6_26_5_2_1_3_1_2,NA,2.3.4.4b,2,NA-environment,other,NA-environment - Asia,Asia,NA-environment,Asia,0,1,1,minor,#cc6674
237,6_2_64_12_34_32_1_2,NA,2.3.4.4b,1,domestic-Galliformes,domestic-ave,domestic-Galliformes - Africa,Africa,domestic-Galliformes,Africa,0,1,1,minor,#cc8966
238,70_3_92_55_2_90_35_8,NA,Am_nonGsGD,1,wild-Charadriiformes,wild-ave,wild-Charadriiformes - North America,North America,wild-Charadriiformes,North America,0,1,1,minor,#d3d3d3
239,71_1_93_56_1_91_1_54,NA,2.3.4.4b,1,domestic-Struthioniformes,domestic-ave,domestic-Struthioniformes - Africa,Africa,domestic-Struthioniformes,Africa,0,1,1,minor,#cc9d33
240,72_52_1_1_2_1_1_4,NA,2.3.4.4b,1,wild-Anseriformes,wild-ave,wild-Anseriformes - North America,North America,wild-Anseriformes,North America,0,1,1,minor,#c9cc99
241,73_1_96_1_1_1_1_1,NA,2.3.4.4b,1,domestic-Galliformes,domestic-ave,domestic-Galliformes - Asia,Asia,domestic-Galliformes,Asia,0,1,1,minor,#a4cc66
242,74_1_1_1_18_1_1_1,NA,2.3.4.4b,1,wild-unknown avian,wild-ave,wild-unknown avian - North America,North America,wild-unknown avian,North America,0,1,1,minor,#5bcc33
243,75_3_1_1_18_1_1_8,NA,2.3.4.4b,1,wild-Passeriformes,wild-ave,wild-Passeriformes - North America,North America,wild-Passeriformes,North America,0,1,1,minor,#99cc9d
244,76_3_1_1_2_1_1_4,NA,2.3.4.4b,1,domestic-Anseriformes,domestic-ave,domestic-Anseriformes - North America,North America,domestic-Anseriformes,North America,0,1,1,minor,#66cc91
245,77_3_1_1_2_96_1_4,NA,2.3.4.4b,1,wild-Passeriformes,wild-ave,wild-Passeriformes - North America,North America,wild-Passeriformes,North America,0,1,1,minor,#33cca9
246,78_53_1_1_2_1_1_4,NA,2.3.4.4b,1,wild-Accipitriformes,wild-ave,wild-Accipitriformes - North America,North America,wild-Accipitriformes,North America,0,1,1,minor,#99c5cc
247,79_2_32_12_1_98_37_61,NA,EA_nonGsGD,1,domestic-Galliformes,domestic-ave,domestic-Galliformes - Europe,Europe,domestic-Galliformes,Europe,0,1,1,minor,#dcdcdc
248,7_1_1_1_2_1_1_1,H5N1/2022/R9_NAmerica,2.3.4.4b,6,wild-Mammal,mammal,wild-Mammal - North America,North America,wild-Mammal,North America,0.08199999999988,1,1,major,#669ccc
249,7_21_90_1_2_1_1_1,NA,2.3.4.4b,1,wild-Accipitriformes,wild-ave,wild-Accipitriformes - North America,North America,wild-Accipitriformes,North America,0,1,1,minor,#334fcc
250,7_4_1_1_2_1_1_1,H5N1/2022/R1_NAmerica,2.3.4.4b,105,"wild-Mammal, wild-Accipitriformes, domestic-Galliformes, domestic-Anseriformes, wild-Suliformes","mammal, wild-ave, domestic-ave","wild-Mammal - North America, wild-Accipitriformes - North America, domestic-Galliformes - North America, domestic-Anseriformes - North America, wild-Suliformes - North America",North America,wild-Accipitriformes,North America,1.14499999999998,1,3,major,#a199cc
251,7_4_6_1_2_1_1_1,H5N1/2022/R3_NAmerica,2.3.4.4b,88,"domestic-Galliformes, wild-Mammal, wild-Anseriformes, domestic-Anseriformes, wild-Accipitriformes, wild-Rheiformes, wild-Charadriiformes, wild-Strigiformes","domestic-ave, mammal, wild-ave","domestic-Galliformes - North America, wild-Mammal - North America, wild-Anseriformes - North America, domestic-Anseriformes - North America, wild-Accipitriformes - North America, wild-Rheiformes - North America, wild-Charadriiformes - North America, wild-Strigiformes - North America",North America,wild-Anseriformes,North America,1.01299999999992,1,3,major,#9966cc
252,8_1_1_1_2_1_1_1,H5N1/2022/R2_NAmerica,2.3.4.4b,151,"domestic-Galliformes, wild-Accipitriformes, wild-Mammal, domestic-Anseriformes, wild-Anseriformes, wild-Strigiformes, wild-Passeriformes, wild-unknown avian, wild-Charadriiformes, wild-Falconiformes, wild-Pelecaniformes","domestic-ave, wild-ave, mammal","domestic-Galliformes - North America, wild-Accipitriformes - North America, wild-Mammal - North America, domestic-Anseriformes - North America, wild-Anseriformes - North America, wild-Strigiformes - North America, wild-Passeriformes - North America, wild-unknown avian - North America, wild-Charadriiformes - North America, wild-Falconiformes - North America, wild-Pelecaniformes - North America",North America,wild-Accipitriformes,North America,1.13199999999983,1,3,major,#b533cc
253,8_49_1_1_42_77_1_1,NA,2.3.4.4b,1,domestic-Galliformes,domestic-ave,domestic-Galliformes - North America,North America,domestic-Galliformes,North America,0,1,1,minor,#cc99c1
254,8_4_1_1_2_1_1_1,NA,2.3.4.4b,1,wild-Anseriformes,wild-ave,wild-Anseriformes - North America,North America,wild-Anseriformes,North America,0,1,1,minor,#cc6693
255,9_1_5_2_1_3_1_2,H5N8/2020/R3_Asia,2.3.4.4b,111,"domestic-Galliformes, wild-Accipitriformes, domestic-Anseriformes, wild-unknown avian, wild-Anseriformes","domestic-ave, wild-ave","domestic-Galliformes - Asia, wild-Accipitriformes - Asia, domestic-Anseriformes - Asia, wild-unknown avian - Asia, wild-Anseriformes - Asia",Asia,wild-unknown avian,Asia,0.301999999999907,1,2,major,#cc3342